freebase_actor_id,CanonicalCategory,Class,Winner
/m/01c65z,,,False
/m/01c6l,,,False
/m/01c8kf,,,False
/m/01c_3f,,,False
/m/01c_zw,ACTRESS IN A LEADING ROLE,Acting,False
/m/01c_zw,ACTRESS IN A LEADING ROLE,Acting,False
/m/01c_zw,ACTRESS IN A SUPPORTING ROLE,Acting,True
/m/01c_zw,ACTRESS IN A LEADING ROLE,Acting,True
/m/01ccr8,,,False
/m/01cd39,,,False
/m/01cd5l,,,False
/m/01cd6g,,,False
/m/01chc7,,,False
/m/01cj6y,ACTOR IN A LEADING ROLE,Acting,True
/m/01ck_1,,,False
/m/01ckhj,,,False
/m/01cl8_,,,False
/m/01cl8k,,,False
/m/01cl9d,,,False
/m/01cm28,,,False
/m/01cm53,,,False
/m/01cnft,,,False
/m/01cqj3,,,False
/m/01cs38,,,False
/m/01csrl,ACTRESS IN A SUPPORTING ROLE,Acting,False
/m/01csrl,ACTRESS IN A SUPPORTING ROLE,Acting,False
/m/01csrl,ACTRESS IN A SUPPORTING ROLE,Acting,False
/m/01csrl,ACTRESS IN A SUPPORTING ROLE,Acting,False
/m/01csyt,,,False
/m/01cthg,,,False
/m/01cwcr,,,False
/m/01cwk9,,,False
/m/01cwkq,,,False
/m/01cyjx,,,False
/m/01czs5,,,False
/m/01d0b1,,,False
/m/01d1yr,,,False
/m/01d30x,,,False
/m/01d5vk,,,False
/m/01d621,,,False
/m/01d6jf,,,False
/m/01d6l0,,,False
/m/01d8yn,,,False
/m/01d9wd,,,False
/m/01d_vf,,,False
/m/01dcdz,,,False
/m/01dcvr,,,False
/m/01ddr7,,,False
/m/01dfbp,,,False
/m/01dkgz,,,False
/m/01dkpb,,,False
/m/01dmdw,,,False
/m/01dml6,,,False
/m/01dpsv,,,False
/m/01dvms,ACTRESS,Acting,True
/m/01dvms,ACTRESS,Acting,False
/m/01dw4q,,,False
/m/01dwcv,,,False
/m/01dxq2,,,False
/m/01dxx3,,,False
/m/01dy7j,,,False
/m/01dzbm,,,False
/m/01dzt1,,,False
/m/01f0bm,,,False
/m/01f0wg,,,False
/m/01f2f8,,,False
/m/01f2n_,,,False
/m/01f46l,,,False
/m/01f4sz,,,False
/m/01f5fg,,,False
/m/01f5q5,,,False
/m/01f6nq,,,False
/m/01f6zc,ACTOR IN A LEADING ROLE,Acting,False
/m/01f6zc,ACTOR IN A LEADING ROLE,Acting,True
/m/01f6zc,ACTOR IN A LEADING ROLE,Acting,False
/m/01f7dd,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/01f7dd,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/01f7dd,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/01f7dd,ACTOR IN A LEADING ROLE,Acting,False
/m/01f873,,,False
/m/01f9mq,,,False
/m/01f9p0,,,False
/m/01f9pf,,,False
/m/01fd57,ACTRESS,Acting,False
